,price,price,price,price,load,load,load,load
,mean,min,max,std,mean,min,max,std
datetime,,,,,,,,
2023-06-01 00:00:00,19.831099,19.831099,19.831099,,78288.0,78288.0,78288.0,
2023-06-01 01:00:00,18.7715975,17.712096,19.831099,1.4983613906546374,76376.0,74464.0,78288.0,2703.9763312573577
2023-06-01 02:00:00,17.855274666666663,16.022629,19.831099,1.9082678096028174,74912.33333333333,71985.0,78288.0,3175.3274371839707
2023-06-01 03:00:00,17.21365375,15.288791,19.831099,2.018506120441778,73829.0,70579.0,78288.0,3378.793768985216
2023-06-01 04:00:00,16.994622999999997,15.288791,19.831099,1.8153918491398762,73217.0,70579.0,78288.0,3230.310433998564
2023-06-01 05:00:00,17.240256,15.288791,19.831099,1.7316268295660002,73279.33333333333,70579.0,78288.0,2893.309016794898
2023-06-01 06:00:00,17.951599428571427,15.288791,22.21966,2.4578125527243966,74039.85714285714,70579.0,78603.0,3320.3623511383726
2023-06-01 07:00:00,18.6456275,15.288791,23.503824,3.0052062740257464,75175.75,70579.0,83127.0,4446.555352179931
2023-06-01 08:00:00,19.554927111111112,15.288791,26.829324,3.9171148439463197,76433.33333333333,70579.0,86494.0,5615.515581849987
2023-06-01 09:00:00,20.713246599999998,15.288791,31.138122,5.201534742061982,77770.7,70579.0,89807.0,6776.114800450838
2023-06-01 10:00:00,21.865447,15.288791,33.387451,6.241281173361106,79206.81818181818,70579.0,93568.0,8000.6842434654545
2023-06-01 11:00:00,23.2709735,15.288791,38.731765,7.688849853818514,80745.91666666667,70579.0,97676.0,9306.860963419636
2023-06-01 12:00:00,25.015657461538463,15.288791,45.951865,9.683122707497924,82340.53846153847,70579.0,101476.0,10604.53512744575
2023-06-01 13:00:00,26.791094499999996,15.288791,49.871776,11.431570790961787,83992.07142857143,70579.0,105462.0,11916.020602302833
2023-06-01 14:00:00,28.765133466666665,15.288791,56.401679,13.408911766158898,85664.06666666667,70579.0,109072.0,13182.671003288844
2023-06-01 15:00:00,30.8576226875,15.288791,62.244961,15.422986048902828,87318.0625,70579.0,112128.0,14351.603717442176
2023-06-01 16:00:00,33.382740764705886,15.288791,73.78463,18.20432585028222,88945.88235294117,70579.0,114991.0,15431.851905565132
2023-06-01 17:00:00,36.10354066666667,15.288791,82.357139,21.098650387844103,90461.16666666667,70579.0,116221.0,16293.04315001453
2023-06-01 18:00:00,37.74823842105263,15.288791,82.357139,21.721369815264342,91755.84210526316,70579.0,116221.0,16809.604451236133
2023-06-01 19:00:00,38.5974083,15.288791,82.357139,21.48039047398807,92755.4,70579.0,116221.0,16960.937329485565
